"NUTS","Name","Country","Year","GDP_growth","Employment_abs","Labor_Productivity_abs","Wage_EUR","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","inv_rate","GVA_primary","GVA_services","GVA_public","GFCF_share","GDP_EUR","GDP_capita","Population_abs","Pop_growth","emp_rate","unemp_rate","Migration_rate"
"TR61","Antalya, Isparta, Burdur","Turkey",2014,0.0448584004633368,1120800,25810.81,988.375,0.587,0.215,79.3,1.9,0.647,0.189,0.164,0.324804218338053,0.305704521042867,0.554758324382384,0.139537154574749,0.301619770238294,27570473889.7922,9620.58283950344,2865780,0.0240634067551922,0.514,0.084,0.0125358541130164
"TR61","Antalya, Isparta, Burdur","Turkey",2015,0.0144906204408133,1107200,28028.21,1053.79583333333,0.578,0.234,79.4,1.91,0.627,0.191,0.182,0.335171501450801,0.305505002886984,0.556405814896836,0.13808918221618,0.320355433670324,28629762557.5427,9759.99105385008,2933380,0.0235886913859403,0.502,0.094,0.0139790957871125
"TR61","Antalya, Isparta, Burdur","Turkey",2016,-0.0767397100957076,1131800,25015.09,1139.0925,0.592,0.241,79.2,1.88,0.596,0.199,0.204,0.329988588360127,0.329912510760976,0.514448737712467,0.155646759694889,0.305581486357129,26969238543.3603,9011.01216984093,2992920,0.0202974043594761,0.502,0.114,0.00689794581879903
"TR61","Antalya, Isparta, Burdur","Turkey",2017,0.0900171392337097,1160400,23881.82,1009.72583333333,0.586,0.242,79.4,1.8,0.594,0.201,0.206,0.336580861415299,0.31345086808663,0.540292399563923,0.146256732349448,0.277088722490889,29860832752.8453,9822.15770697015,3040150,0.0157805754914933,0.497,0.119,0.00654309820239133
"TR61","Antalya, Isparta, Burdur","Turkey",2018,0.0981059325701704,1185700,22059.05,843.846666666667,0.592,0.235,79.7,1.71,0.582,0.203,0.214,0.332029800717298,0.275179004737922,0.579945498974374,0.1448797608437,0.232832059181856,33439553072.5381,10785.7696486637,3100340,0.0197983652122428,0.503,0.114,0.0164798054406936
"TR61","Antalya, Isparta, Burdur","Turkey",2019,0.00503379180673526,1185900,23792.08,920.740833333333,0.593,0.237,79.9,1.59,0.564,0.209,0.228,0.288497644266534,0.26427117896883,0.585631009875581,0.150101747218188,0.21245873860018,34498933996.7482,10840.0629675505,3182540,0.0265132211305857,0.492,0.133,0.0215340577023384
"TR62","Adana, Mersin","Turkey",2009,0.00668104695944689,1050300,17354.77,811.604166666667,0.517,0.386,76,2.09,0.734,0.174,0.092,0.249047302945371,0.365380832964547,0.466372867187884,0.168246299847568,0.222293542246142,18227700000,4921.95170424168,3703348,0.00647365640375613,0.402,0.199,0.00698098045336274
"TR62","Adana, Mersin","Turkey",2010,0.0583131304400747,1172600,19390.53,953.285833333333,0.533,0.325,76.6,2.07,0.718,0.179,0.102,0.279936229334506,0.39110009395678,0.441222037862583,0.167682865881694,0.288508313794358,19414691820.6055,5208.96611599087,3727168,0.00643201773098288,0.441,0.149,-0.00469337577485104
"TR62","Adana, Mersin","Turkey",2011,0.0841061340790921,1239600,18484.02,890.508333333333,0.525,0.308,77,2.06,0.709,0.178,0.113,0.315064555299482,0.399499417639333,0.435571085173345,0.164929497187322,0.300107169472118,21182099751.8375,5647.07211855584,3750988,0.00639091127633635,0.464,0.093,-0.000663558507785149
"TR62","Adana, Mersin","Turkey",2012,0.0426564577205948,1207900,21627.46,1011.37833333333,0.506,0.316,77.5,2.15,0.691,0.181,0.128,0.306259504941486,0.390318932760257,0.443005012976547,0.166684719736916,0.317115626256811,22289976950.7911,5887.95621162617,3785690,0.00925142922344726,0.447,0.091,-0.00444938703380361
"TR62","Adana, Mersin","Turkey",2013,0.0546180043969531,1203100,22368.56,1018.59333333333,0.509,0.308,77.7,2.18,0.683,0.192,0.126,0.323234420484833,0.38553129462413,0.447857829906059,0.166615112775902,0.320602899082806,23793608921.8886,6209.54462988184,3831780,0.0121747950835911,0.438,0.113,-0.000496897003481411
"TR62","Adana, Mersin","Turkey",2014,0.0340745616183246,1248500,21136.47,988.591666666667,0.509,0.316,77.9,2.27,0.678,0.179,0.142,0.324805391657318,0.390561174244046,0.442628004761375,0.16682366642974,0.304950987961007,24875144857.6056,6421.13214099448,3873950,0.0110053291159722,0.439,0.107,-0.00328295409078589
"TR62","Adana, Mersin","Turkey",2015,0.0505050751314696,1304700,22258.92,1053.805,0.523,0.295,77.6,2.25,0.678,0.17,0.152,0.335172602311778,0.391471415182755,0.447723367697595,0.160809122149328,0.325380119428767,26378685996.7609,6745.4319022045,3910600,0.00946062804114663,0.457,0.098,-0.00327878074975707
"TR62","Adana, Mersin","Turkey",2016,0.0439598524117105,1308300,22820.75,1139.14333333333,0.518,0.299,77.5,2.21,0.675,0.169,0.156,0.329986938428359,0.383250812551259,0.449583852252362,0.16716913216488,0.312286820426485,27829544609.4431,7041.96009307866,3951960,0.010576382140848,0.449,0.103,0.000325155112906001
"TR62","Adana, Mersin","Turkey",2017,0.0450755744477843,1336600,21154.91,1009.88166666667,0.517,0.286,78.2,2.16,0.652,0.184,0.164,0.336578636813064,0.398654036296367,0.441823748923548,0.159522214780085,0.287287840360775,29385859107.0138,7359.38048951255,3992980,0.010379659713155,0.447,0.106,-0.00238894259425291
"TR62","Adana, Mersin","Turkey",2018,0.00781210388940147,1326400,18131.6,843.803333333333,0.519,0.295,78.7,2.08,0.633,0.194,0.173,0.332030072398232,0.391636867906852,0.443039148845385,0.165328621187034,0.239958734158342,29834296405.631,7416.87273445826,4022490,0.00739047027533321,0.445,0.112,-0.00440995502785588
"TR62","Adana, Mersin","Turkey",2019,0.0152980889642109,1312300,19313.36,920.896666666667,0.515,0.308,78.6,1.94,0.625,0.194,0.181,0.288497351205213,0.380926924812788,0.446623170053064,0.172454286928669,0.215540173733072,30546509664.3827,7530.33671338623,4056460,0.00844501788693073,0.436,0.119,0.00169827879481124
"TR63","Hatay, Kahramanmaras, Osmaniye","Turkey",2009,-0.00189525382383789,733900,15641.87,811.729166666667,0.463,0.448,76.7,2.57,0.815,0.121,0.065,0.249043566520924,0.438036773891318,0.385589084946908,0.176383900687071,0.222289975260462,11479600000,3902.52193970258,2941585,0.00914914872332513,0.382,0.148,-1.73375918084978e-05
"TR63","Hatay, Kahramanmaras, Osmaniye","Turkey",2010,0.0522398255288675,846200,17493.31,953.328333333333,0.496,0.396,77.4,2.56,0.804,0.126,0.07,0.279932753498584,0.486961394674016,0.341245288522803,0.171793316803181,0.299176155794713,12188805589.5143,4106.38900495522,2968254,0.00906620070472211,0.426,0.117,-0.00101406416027739
"TR63","Hatay, Kahramanmaras, Osmaniye","Turkey",2011,0.0702218605411956,888800,16879.17,890.428333333333,0.5,0.377,77.5,2.53,0.775,0.141,0.084,0.315072744614173,0.501513935778844,0.331453529741268,0.167032534479887,0.316237717538462,13161934105.7689,4394.74728098908,2994924,0.00898508011780663,0.434,0.105,-0.012866436677525
"TR63","Hatay, Kahramanmaras, Osmaniye","Turkey",2012,0.0066470052485616,922700,17797.18,1011.22,0.492,0.346,78,2.61,0.769,0.133,0.098,0.306261286720613,0.464633793303098,0.360037771742876,0.175321542300216,0.332175284261459,13376371483.7454,4423.95918923192,3023620,0.00958154530799446,0.433,0.09,-0.00788028918977914
"TR63","Hatay, Kahramanmaras, Osmaniye","Turkey",2013,0.0898104574643481,892800,19592.15,1018.5425,0.469,0.334,78.5,2.63,0.772,0.138,0.091,0.323239500893125,0.476909135950559,0.352223685411424,0.170873697797828,0.336263146253516,14745297114.0103,4821.27698782044,3058380,0.0114961536171873,0.403,0.108,-0.00336092964249047
